PR_Number,Author,Score,Threat_Class,Unlinked_PR,Logic_Clones,Antipattern_IDs,Collided_PRs,Time_Saved_Hours,Operational_Savings_USD,Timestamp,PR_State,Is_Bot,Repo_Slug,Commit_SHA,Policy_Hash,Agentic_Contribution_Pct
91645,Hendrik Liebau,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-30T06:07:30Z,Open,FALSE,vercel/next.js,904197e46478fac46e4bb909e0f75e4c3ea79a37,,0.00
90701,Cursor Agent,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-30T06:07:30Z,Open,FALSE,vercel/next.js,f1dbebe1417b13863cf978a4682a4f4c4d779761,,0.00
91224,Benjamin Favre,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-30T06:07:30Z,Open,FALSE,vercel/next.js,70b4284a118b7e02bf30c3343b9d891578998f5c,,0.00
92088,Luke Sandberg,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-30T06:07:30Z,Open,FALSE,vercel/next.js,fcf6b9a81469479aa77bba1a56387847f700fc1b,,0.00
90700,Niklas Mischkulnig,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-30T06:07:30Z,Open,FALSE,vercel/next.js,cae0c3e593e16aa50a005d4fef50db4c6b0dee64,,0.00
91643,Hendrik Liebau,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-30T06:07:30Z,Open,FALSE,vercel/next.js,b6b88674d07ad0cad929e93736ea8747b3eeaa00,,0.00
92084,nextjs-bot,180,Necrotic,FALSE,0,architecture:zombie_dependency|architecture:version_silo — @vercel/ncc|architecture:version_silo — async-retry|architecture:version_silo — ci-info|architecture:version_silo — conf|architecture:version_silo — picocolors|architecture:version_silo — semver|architecture:version_silo — source-map|architecture:version_silo — tar|architecture:version_silo — webpack,,0.2000,20,2026-03-30T06:07:31Z,Open,FALSE,vercel/next.js,2cac6112a649edd7f67b8d7d5e97a9891d35dd4c,,0.00
90698,Sebastian Sebbie Silbermann,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-30T06:07:31Z,Open,FALSE,vercel/next.js,4ef4b69cef343f972b2a03ba1954d4f57cc0bb75,,0.00
91640,Tobias Koppers,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-30T06:07:31Z,Open,FALSE,vercel/next.js,88030fb95227fef469255a34d5695d5b6f8e318a,,0.00
91223,Benjamin Woodruff,0,Boilerplate,FALSE,0,,,0.0000,0,2026-03-30T06:07:31Z,Open,FALSE,vercel/next.js,2e16077a55f4ca98ac1df8e906cf13c1d70a0148,,0.00
